3570363,RHCT,R2,1
3570363,HYCT,R2,1
3570363,KSCT,RI,1
3570363,PYCT,RI,1
3570374,RHCT,R2,1
3570374,HYCT,R2,1
3570374,KSCT,RI,1
3570374,PYCT,RI,1
3570375,KSCT,R2,1
3570375,RHCT,R2,2
3570375,HYCT,RI,2
3570377,KSCT,R2,2
3570377,HYCT,RI,2
3570381,HYCT,R2,1
3570381,KSCT,R2,1
3570381,PYCT,RI,1
3570381,R2CT,RI,1
3570389,RHCT,R2,1
3570389,HYCT,R2,1
3570389,KSCT,RI,1
3570389,PYCT,RI,1
3570392,RHCT,R2,1
3570392,HYCT,R2,1
3570392,PYCT,RI,1
3570392,R2CT,RI,1
3570395,KSCT,R2,1
3570395,RHCT,R2,2
3570395,PYCT,RI,1
3570395,BNCT,RI,2
3570398,KSCT,R2,1
3570398,RHCT,R2,2
3570398,HYCT,RI,2
3570401,KSCT,R2,2
3570401,RHCT,RI,2
3570402,HYCT,R2,1
3570402,KSCT,R2,1
3570402,RHCT,RI,2
3570404,RHCT,R2,1
3570404,HYCT,R2,1
3570404,KSCT,RI,1
3570404,PYCT,RI,1
3454729,CTCT,R2,1
3454729,ZWCT,R2,1
3454729,RHCT,RI,1
3454731,BNCT,R2,1
3454731,CTCT,RI,1
3454735,BNCT,R2,1
3454735,CTCT,RI,1
3454738,CTCT,R2,1
3454738,BNCT,RI,1
3454739,CTCT,R2,1
3454739,ZWCT,R2,1
3454739,RHCT,RI,1
3454709,CTCT,R2,1
3454709,ZWCT,R2,1
3454709,RHCT,RI,2.0
3454713,ZWCT,R2,1
3454713,CTCT,R2,1
3454713,RHCT,RI,1
3454719,BNCT,R2,1
3454721,CTCT,R2,1
3454721,RHCT,RI,1
3454724,CTCT,R2,1
3454724,BNCT,R2,1
3454724,ZWCT,RI,1
3454726,CTCT,R2,1
3454726,BNCT,R2,1
3454726,ZWCT,RI,1
3454726,RHCT,RI,1
3407230,ZWCT,R2,1.0
3407230,ZWCT,RI,1.0
3367746,ZWCT,R2,1
3367747,PYCT,R2,1
3367747,RHCT,RI,1
3367748,BNCT,R2,1
3367748,PYCT,R2,1
3367748,RHCT,RI,1
3407258,PYCT,R2,1
3492944,CTCT,R2,1
3492944,RHCT,R2,1
3492944,R2CT,RI,1
3492944,PTCT,RI,1
3492950,RHCT,R2,1
3492950,PYCT,RI,1
3492953,RHCT,R2,1
3492953,KSCT,R2,1
3492953,ZWCT,RI,1
3492956,PYCT,R2,1
3492956,PTCT,R2,1
3492956,R2CT,RI,1
3492959,RHCT,R2,1
3492959,KSCT,R2,1
3492959,CTCT,RI,1
3492962,RHCT,R2,1
3492962,KSCT,R2,1
3492962,CTCT,RI,1
3437046,RHCT,R2,1
3437060,PYCT,R2,1.0
3437060,PYCT,RI,1.0
3454616,BNCT,R2,1
3454616,PTCT,R2,1
3454616,PYCT,RI,2.0
3454619,PYCT,R2,1
3454619,RHCT,R2,1
3454619,CTCT,RI,1
3454621,RHCT,R2,1
3454621,PYCT,RI,1
3454622,PTCT,R2,1
3454605,PTCT,R2,2
3454605,RHCT,RI,2
3454607,PTCT,R2,1
3454607,RHCT,RI,1
3454609,PYCT,R2,1.0
3454609,PYCT,RI,1.0
3556830,HYCT,R2,1
3556830,PTCT,R2,2
3556830,PYCT,RI,1
3556830,CTCT,RI,1
3556832,HYCT,R2,1
3556832,PTCT,R2,2
3556832,PYCT,RI,1
3556832,CTCT,RI,1
3556834,HYCT,R2,1
3556834,CTCT,R2,1
3556834,PTCT,RI,2
3556835,HYCT,R2,1
3556835,PTCT,R2,2
3556835,PYCT,RI,1
3556835,BNCT,RI,1
3556837,BNCT,R2,1
3556837,CTCT,R2,1
3556837,PTCT,RI,1
3556837,PYCT,RI,1
3556839,BNCT,R2,1
3556839,PTCT,R2,2
3556839,PYCT,RI,1
3543805,HYCT,R2,1
3543805,KSCT,R2,1
3543805,PYCT,RI,1
3543805,RHCT,RI,1
3543806,HYCT,R2,2
3543806,RHCT,RI,1
3543806,PYCT,RI,2
3543807,RHCT,R2,2
3543807,PYCT,RI,1
3543808,PTCT,R2,2
3543808,PYCT,RI,1
3543813,RHCT,R2,1
3543813,KSCT,R2,1
3543813,PYCT,RI,1
3543813,PTCT,RI,1
3543815,RHCT,R2,1
3543815,HYCT,R2,1
3543815,KSCT,RI,1
3543815,PYCT,RI,1
3543799,PTCT,R2,1
3543799,ZWCT,RI,1
3543800,PTCT,R2,2
3543800,BNCT,RI,2
3543801,CTCT,R2,2
3543801,ZWCT,RI,2
3543802,BNCT,R2,2
3543802,CTCT,RI,2
3543803,PTCT,R2,2
3543803,BNCT,RI,2
3543804,CTCT,R2,1
3543804,BNCT,R2,1
3543804,PTCT,RI,1
3407350,PYCT,R2,1
3454411,BNCT,R2,1
3454411,RHCT,R2,1
3454411,PTCT,RI,2
3454417,BNCT,R2,1
3454417,KSCT,R2,1
3454417,RHCT,RI,1
3454420,HYCT,R2,1
3454425,BNCT,R2,1
3454425,CTCT,R2,1
3454425,KSCT,RI,1
3454425,PTCT,RI,2
3454429,BNCT,R2,2
3454429,PYCT,RI,1
3454429,CTCT,RI,1
3454432,KSCT,R2,1
3454432,HYCT,R2,1
3454432,PTCT,RI,2.0
3454434,KSCT,R2,1
3454434,BNCT,R2,1
3454434,PTCT,RI,1
3454434,ZWCT,RI,1
3454440,BNCT,R2,2
3454440,PTCT,RI,2.0
3454444,BNCT,R2,1
3454444,PTCT,R2,1
3454444,PYCT,RI,1
3454444,KSCT,RI,1
3454447,HYCT,R2,2
3454447,CTCT,RI,2
3454452,KSCT,R2,1
3454452,HYCT,R2,2
3454452,CTCT,RI,2
3454455,HYCT,R2,1
3454455,KSCT,R2,1
3454455,CTCT,RI,2
3363301,PYCT,R2,1.0
3363301,PYCT,RI,1.0
3413161,HYCT,R2,1
3413161,PYCT,RI,1
3300632,RHCT,R2,1
3300639,BNCT,R2,1
3300639,ZWCT,RI,1
3300644,RHCT,R2,1
3413181,PTCT,R2,1
3413181,HYCT,RI,1
3413182,PYCT,R2,1
3413182,PTCT,R2,1
3413182,HYCT,RI,1
3413184,CTCT,R2,1
3413184,PYCT,RI,1
3413185,R2CT,R2,1
3413185,HYCT,R2,1
3413185,PTCT,RI,1
3413185,KSCT,RI,1
3413186,PYCT,R2,1
3413187,PYCT,R2,1
3413187,HYCT,RI,1
3492965,HYCT,R2,1
3492965,RHCT,R2,1
3492965,KSCT,RI,1
3492965,CTCT,RI,1
3492972,RHCT,R2,1
3492972,HYCT,R2,1
3492972,KSCT,RI,1
3492972,BNCT,RI,1
3492976,KSCT,R2,2
3492976,HYCT,RI,2
3492980,KSCT,R2,2
3492980,HYCT,RI,2
3492983,RHCT,R2,1
3492983,HYCT,R2,1
3492983,KSCT,RI,1
3492983,BNCT,RI,2
3492985,RHCT,R2,1
3492985,HYCT,R2,1
3492985,KSCT,RI,1
3492985,CTCT,RI,2
3492988,RHCT,R2,1
3492988,HYCT,R2,1
3492988,KSCT,RI,1
3492988,CTCT,RI,2
3492992,KSCT,R2,1
3492992,BNCT,R2,1
3492992,R2CT,RI,1
3492992,PYCT,RI,1
3492994,KSCT,R2,2
3492994,HYCT,RI,2
3492997,KSCT,R2,2
3492997,HYCT,RI,2
3493001,RHCT,R2,1
3493001,HYCT,R2,1
3493001,KSCT,RI,1
3493001,BNCT,RI,2
3493004,RHCT,R2,1
3493004,HYCT,R2,1
3493004,KSCT,RI,1
3493004,CTCT,RI,2
3413081,ZWCT,R2,1
3588265,HYCT,R2,1
3588265,KSCT,R2,1
3588265,RHCT,RI,1
3588265,CTCT,RI,2
3588270,KSCT,R2,2
3588270,HYCT,RI,2
3588272,KSCT,R2,2
3588272,HYCT,RI,2
3588275,KSCT,R2,2
3588275,HYCT,RI,2
3588276,KSCT,R2,2
3588276,HYCT,RI,2
3588278,HYCT,R2,1
3588278,KSCT,R2,1
3588278,RHCT,RI,1
3588278,CTCT,RI,2
3588284,HYCT,R2,1
3588284,KSCT,R2,1
3588284,RHCT,RI,1
3588284,CTCT,RI,1
3588286,HYCT,R2,1
3588286,RHCT,R2,1
3588286,CTCT,RI,2
3588288,KSCT,R2,2
3588288,HYCT,RI,2
3588290,KSCT,R2,2
3588290,HYCT,RI,2
3588291,HYCT,R2,1
3588291,KSCT,R2,1
3588291,RHCT,RI,1
3588291,CTCT,RI,2
3588293,HYCT,R2,1
3588293,KSCT,R2,1
3588293,RHCT,RI,1
3588293,CTCT,RI,1
3383865,ZWCT,R2,1
3383891,ZWCT,R2,1
3383893,PTCT,R2,1
3383895,ZWCT,R2,1.0
3383895,ZWCT,RI,1.0
3383897,ZWCT,R2,1
3383898,PTCT,R2,1
3383900,ZWCT,R2,1
3383903,ZWCT,R2,2.0
3383903,ZWCT,RI,1.0
3383906,ZWCT,R2,1
3383908,PTCT,R2,2
3383908,ZWCT,RI,2.0
3383911,PTCT,R2,1.0
3383911,PTCT,RI,1.0
3383914,PYCT,R2,1
3383914,PTCT,R2,1
3383914,ZWCT,RI,1
3383945,PYCT,R2,1
3383955,ZWCT,R2,1
3367659,PYCT,R2,1.0
3367659,PYCT,RI,1.0
3367632,PYCT,R2,1
3367638,PYCT,R2,1
3543787,PTCT,R2,1
3543788,PTCT,R2,1
3543789,PTCT,R2,1
3543789,CTCT,RI,1
3543790,CTCT,R2,1
3543790,PTCT,RI,1
3543791,BNCT,R2,1
3543791,PTCT,RI,1
3543792,CTCT,R2,1
3543792,BNCT,R2,1
3543792,ZWCT,RI,1
3543792,PTCT,RI,1
3543793,CTCT,R2,2
3543793,ZWCT,RI,1
3543794,CTCT,R2,1
3543794,BNCT,R2,2
3543794,ZWCT,RI,2
3543795,BNCT,R2,2
3543795,CTCT,RI,2
3543796,CTCT,R2,1
3543796,BNCT,R2,1
3543796,ZWCT,RI,2
3543797,BNCT,R2,2
3543797,PTCT,RI,1
3543797,ZWCT,RI,1
3543798,PTCT,R2,2
3543798,BNCT,RI,2
3363259,ZWCT,R2,1
3367707,ZWCT,R2,1
3367720,ZWCT,R2,1
3367678,ZWCT,R2,1
3367683,ZWCT,R2,1.0
3367683,ZWCT,RI,1.0
3367686,PYCT,R2,1.0
3367686,PYCT,RI,1.0
3367691,BNCT,R2,1
3367691,PYCT,RI,1
3367698,BNCT,R2,1
3437184,PTCT,R2,1
3437184,ZWCT,R2,1
3437184,BNCT,RI,1
3437184,RHCT,RI,2.0
3437186,PTCT,R2,1
3437186,ZWCT,R2,1
3437186,BNCT,RI,1
3437186,RHCT,RI,2
3437189,PTCT,R2,1
3437189,ZWCT,R2,1
3437189,BNCT,RI,1
3437189,RHCT,RI,1
3437192,ZWCT,R2,1
3437192,BNCT,R2,1
3437192,PTCT,RI,1
3437192,RHCT,RI,1
3437195,ZWCT,R2,1
3437195,BNCT,R2,1
3437195,PTCT,RI,1
3437195,RHCT,RI,2.0
3437198,PTCT,R2,1
3437198,BNCT,R2,1
3437198,RHCT,RI,2
3437171,RHCT,R2,1.0
3437171,RHCT,RI,1.0
3437173,ZWCT,R2,2
3437173,RHCT,RI,2
3437175,PTCT,R2,1
3437175,RHCT,RI,1
3437180,ZWCT,R2,1
3437180,RHCT,RI,1
3437182,RHCT,R2,1
3543631,HYCT,R2,2
3543631,RHCT,RI,1
3543631,KSCT,RI,1
3543648,HYCT,R2,2
3543648,RHCT,RI,1
3543648,KSCT,RI,1
3543651,HYCT,R2,2
3543651,PTCT,RI,2
3543653,RHCT,R2,2
3543653,KSCT,RI,2
3543655,HYCT,R2,2
3543655,PTCT,RI,2
3543657,HYCT,R2,2
3543657,RHCT,RI,1
3543657,KSCT,RI,1
3543659,HYCT,R2,2
3543659,RHCT,RI,1
3543659,KSCT,RI,1
3543662,HYCT,R2,2
3543662,RHCT,RI,1
3543662,KSCT,RI,1
3543664,HYCT,R2,2
3543664,RHCT,RI,2
3543668,HYCT,R2,2
3543668,KSCT,RI,2
3543671,HYCT,R2,1
3543671,KSCT,R2,1
3543671,PTCT,RI,2
3543674,HYCT,R2,2
3543674,RHCT,RI,1
3543674,KSCT,RI,1
3543696,HYCT,R2,1
3543696,RHCT,R2,1
3543696,KSCT,RI,1
3543696,R2CT,RI,1
3543699,RHCT,R2,1
3543699,KSCT,R2,1
3543699,PTCT,RI,1
3543699,CTCT,RI,2
3543702,RHCT,R2,2
3543702,R2CT,RI,2
3543705,RHCT,R2,2
3543705,KSCT,RI,2
3543707,RHCT,R2,1
3543707,KSCT,R2,1
3543707,PYCT,RI,1
3543707,R2CT,RI,1
3543722,HYCT,R2,1
3543722,RHCT,R2,1
3543722,KSCT,RI,1
3543722,PTCT,RI,1
3543676,HYCT,R2,1
3543676,RHCT,R2,1
3543676,KSCT,RI,1
3543676,PTCT,RI,1
3543681,HYCT,R2,1
3543681,RHCT,R2,1
3543681,KSCT,RI,1
3543681,R2CT,RI,1
3543685,HYCT,R2,2
3543685,RHCT,RI,2
3543689,RHCT,R2,2
3543689,KSCT,RI,2
3543692,RHCT,R2,1
3543692,KSCT,R2,1
3543692,CTCT,RI,2
3543694,HYCT,R2,1
3543694,RHCT,R2,1
3543694,KSCT,RI,1
3543694,BNCT,RI,1
3570325,RHCT,R2,1
3570325,HYCT,R2,1
3570325,KSCT,RI,1
3570325,R2CT,RI,1
3570330,KSCT,R2,2
3570330,RHCT,RI,2
3570332,KSCT,R2,2
3570332,HYCT,RI,1
3570332,RHCT,RI,2
3570339,RHCT,R2,1
3570339,KSCT,R2,2
3570339,HYCT,RI,2
3570342,KSCT,R2,2
3570342,RHCT,RI,2
3570346,RHCT,R2,1
3570346,HYCT,R2,1
3570346,KSCT,RI,1
3570346,R2CT,RI,1
3570348,RHCT,R2,1
3570348,HYCT,R2,2
3570348,KSCT,RI,1
3570348,R2CT,RI,1
3570351,KSCT,R2,2
3570351,RHCT,RI,2
3570353,KSCT,R2,2
3570353,HYCT,RI,2
3570356,KSCT,R2,2
3570356,HYCT,RI,2
3570358,KSCT,R2,2
3570358,RHCT,RI,2
3570360,RHCT,R2,1
3570360,HYCT,R2,2
3570360,KSCT,RI,1
3570360,R2CT,RI,1
3245749,RHCT,R2,1
3245750,BNCT,R2,1
3412663,CTCT,R2,1
3331493,ZWCT,R2,1
3331494,ZWCT,R2,1
3331496,ZWCT,R2,1
3331487,ZWCT,R2,1
3331488,ZWCT,R2,1
3331490,ZWCT,R2,1
3412706,ZWCT,R2,1
3412725,ZWCT,R2,1
3412729,ZWCT,R2,1
3412732,BNCT,R2,1
3412732,ZWCT,R2,2
3412739,BNCT,R2,1
3412739,ZWCT,R2,2
3412739,HYCT,RI,1
3412740,ZWCT,R2,2
3412740,HYCT,RI,1
3412740,BNCT,RI,2
3412752,BNCT,R2,1
3412752,HYCT,RI,1
3412697,HYCT,R2,1.0
3412697,HYCT,RI,1.0
3412701,HYCT,R2,1
3412702,HYCT,R2,1
3412703,HYCT,R2,2.0
3412703,HYCT,RI,1.0
3245701,ZWCT,R2,1
3245694,ZWCT,R2,1
3245696,ZWCT,R2,2.0
3245696,ZWCT,RI,2.0
3407454,PYCT,R2,1
3407456,PYCT,R2,1
3407456,R2CT,RI,1
3407458,RHCT,R2,1
3407458,PYCT,RI,1
3407460,HYCT,R2,1
3412995,PYCT,R2,1
3413009,PYCT,R2,1
3367788,PYCT,R2,1
3277024,ZWCT,R2,1.0
3277024,ZWCT,RI,1.0
3383568,HYCT,R2,1
3383568,BNCT,RI,1
3543725,HYCT,R2,1
3543725,RHCT,R2,1
3543725,KSCT,RI,1
3543725,CTCT,RI,2
3543733,HYCT,R2,2
3543733,RHCT,RI,1
3543733,KSCT,RI,1
3543734,HYCT,R2,2
3543734,RHCT,RI,2
3543735,HYCT,R2,2
3543735,RHCT,RI,2
3543737,KSCT,R2,1
3543737,PYCT,R2,2
3543737,BNCT,RI,2
3543740,RHCT,R2,1
3543740,KSCT,R2,1
3543740,PTCT,RI,1
3543740,BNCT,RI,1
3543742,HYCT,R2,1
3543742,RHCT,R2,1
3543742,KSCT,RI,1
3543742,CTCT,RI,2
3543745,HYCT,R2,2
3543745,RHCT,RI,1
3543745,KSCT,RI,1
3543747,HYCT,R2,2
3543747,RHCT,RI,2
3543752,HYCT,R2,2
3543752,RHCT,RI,2
3543756,HYCT,R2,2
3543756,RHCT,RI,1
3543756,KSCT,RI,1
3543760,RHCT,R2,1
3543760,KSCT,R2,1
3543760,PTCT,RI,2
3543866,HYCT,R2,2
3543866,RHCT,RI,1
3543866,KSCT,RI,1
3543867,HYCT,R2,2
3543867,KSCT,RI,2
3543868,HYCT,R2,2
3543868,RHCT,RI,2
3543869,HYCT,R2,2
3543869,KSCT,RI,2
3543870,HYCT,R2,2
3543870,KSCT,RI,2
3543872,HYCT,R2,2
3543872,RHCT,RI,1
3543872,KSCT,RI,1
3543837,HYCT,R2,2
3543837,RHCT,RI,1
3543837,KSCT,RI,1
3543838,RHCT,R2,1
3543838,PYCT,R2,2
3543838,CTCT,RI,2
3543839,HYCT,R2,1
3543839,ZWCT,R2,1
3543839,RHCT,RI,1
3543839,PTCT,RI,1
3543840,CTCT,R2,1
3543840,PYCT,R2,2
3543840,RHCT,RI,1
3543840,BNCT,RI,1
3543841,ZWCT,R2,2
3543841,PYCT,RI,1
3543841,PTCT,RI,1
3543854,HYCT,R2,2
3543854,KSCT,RI,1
3543854,PYCT,RI,2
3588296,HYCT,R2,1
3588296,KSCT,R2,1
3588296,RHCT,RI,1
3588296,CTCT,RI,2
3588303,KSCT,R2,2
3588303,HYCT,RI,2
3588305,KSCT,R2,1
3588305,HYCT,R2,2
3588305,RHCT,RI,1
3588305,CTCT,RI,2
3588308,KSCT,R2,2
3588308,HYCT,RI,2
3588309,KSCT,R2,2
3588309,HYCT,RI,2
3588312,HYCT,R2,1
3588312,KSCT,R2,1
3588312,RHCT,RI,1
3588312,CTCT,RI,2
3588317,HYCT,R2,1
3588317,KSCT,R2,1
3588317,RHCT,RI,1
3588317,CTCT,RI,1
3588320,HYCT,R2,1
3588320,KSCT,R2,1
3588320,RHCT,RI,1
3588320,CTCT,RI,2
3588322,KSCT,R2,2
3588322,HYCT,RI,2
3588324,KSCT,R2,2
3588324,HYCT,RI,2
3588326,HYCT,R2,1
3588326,KSCT,R2,1
3588326,RHCT,RI,1
3588326,CTCT,RI,2
3588327,HYCT,R2,1
3588327,KSCT,R2,1
3588327,RHCT,RI,1
3588327,CTCT,RI,1
3454310,ZWCT,R2,1
3454317,ZWCT,R2,1
3454672,ZWCT,R2,2
3454672,RHCT,RI,1
3454677,BNCT,R2,1
3454677,ZWCT,RI,1
3454701,RHCT,R2,1
3454705,ZWCT,R2,1
3454705,RHCT,RI,1
3454657,RHCT,R2,1
3454662,BNCT,R2,1
3454662,ZWCT,R2,1
3454662,RHCT,RI,1
3454667,BNCT,R2,1
3454670,ZWCT,R2,1
3454670,BNCT,RI,1
3413040,RHCT,R2,2
3413040,PTCT,RI,1
3413040,ZWCT,RI,2
3413047,RHCT,R2,2
3413047,ZWCT,RI,1
3413049,ZWCT,R2,1
3413049,RHCT,RI,1
3413051,ZWCT,R2,1
3413051,RHCT,RI,1
3413054,RHCT,R2,1
3413054,PTCT,RI,1
3413055,RHCT,R2,1
3413057,ZWCT,R2,2
3413057,HYCT,RI,1
3413059,ZWCT,R2,1
3413063,ZWCT,R2,2.0
3413063,ZWCT,RI,1.0
3413065,ZWCT,R2,1
3413066,ZWCT,R2,1
3436913,ZWCT,R2,1
3436913,RHCT,RI,1
3436916,RHCT,R2,1
3436921,ZWCT,R2,1
3588360,HYCT,R2,1
3588360,KSCT,R2,1
3588360,RHCT,RI,1
3588360,PTCT,RI,1
3588364,HYCT,R2,1
3588364,KSCT,R2,1
3588364,RHCT,RI,1
3588364,CTCT,RI,2
3588366,HYCT,R2,1
3588366,KSCT,R2,1
3588366,RHCT,RI,1
3588366,CTCT,RI,2
3588368,HYCT,R2,1
3588368,KSCT,R2,1
3588368,RHCT,RI,1
3588368,CTCT,RI,2
3588371,HYCT,R2,1
3588371,KSCT,R2,1
3588371,RHCT,RI,1
3588371,CTCT,RI,2
3588373,HYCT,R2,1
3588373,KSCT,R2,1
3588373,RHCT,RI,1
3588373,PTCT,RI,1
3588330,HYCT,R2,1
3588330,KSCT,R2,1
3588330,RHCT,RI,1
3588330,PTCT,RI,1
3588347,HYCT,R2,1
3588347,KSCT,R2,1
3588347,RHCT,RI,1
3588347,CTCT,RI,2
3588349,HYCT,R2,1
3588349,KSCT,R2,1
3588349,RHCT,RI,1
3588349,CTCT,RI,2
3588353,HYCT,R2,1
3588353,KSCT,R2,1
3588353,RHCT,RI,1
3588353,CTCT,RI,2
3588356,HYCT,R2,1
3588356,KSCT,R2,1
3588356,RHCT,RI,1
3588356,CTCT,RI,2
3588358,KSCT,R2,1
3588358,RHCT,R2,1
3588358,PTCT,RI,1
3588358,CTCT,RI,1
3407406,BNCT,R2,1
3407406,ZWCT,R2,2
3407406,PTCT,RI,1
3407413,ZWCT,R2,1
3407415,ZWCT,R2,1
3407418,PTCT,R2,2.0
3407418,PTCT,RI,1.0
3407418,PYCT,RI,1
3407421,BNCT,R2,1
3407421,PYCT,R2,2
3407421,ZWCT,RI,1
3588637,HYCT,R2,1
3588637,KSCT,R2,1
3588637,RHCT,RI,1
3588637,CTCT,RI,1
3588379,HYCT,R2,1
3588379,KSCT,R2,1
3588379,RHCT,RI,1
3588379,CTCT,RI,2
3588381,KSCT,R2,1
3588381,HYCT,R2,2
3588381,RHCT,RI,1
3588381,CTCT,RI,2
3588383,KSCT,R2,2
3588383,HYCT,RI,2
3588385,HYCT,R2,1
3588385,KSCT,R2,1
3588385,RHCT,RI,1
3588385,CTCT,RI,2
3588387,HYCT,R2,1
3588387,KSCT,R2,1
3588387,RHCT,RI,1
3588387,CTCT,RI,1
3588390,HYCT,R2,1
3588390,KSCT,R2,1
3588390,RHCT,RI,1
3588390,CTCT,RI,1
3588392,HYCT,R2,1
3588392,KSCT,R2,1
3588392,RHCT,RI,1
3588392,CTCT,RI,2
3588395,KSCT,R2,2
3588395,HYCT,RI,2
3588397,KSCT,R2,2
3588397,HYCT,RI,2
3588399,HYCT,R2,1
3588399,KSCT,R2,1
3588399,RHCT,RI,1
3588399,CTCT,RI,2
3588402,HYCT,R2,1
3588402,KSCT,R2,1
3588402,RHCT,RI,1
3588402,CTCT,RI,1
3493068,BNCT,R2,1
3493068,CTCT,R2,2
3493068,PTCT,RI,1
3493072,BNCT,R2,1
3493072,CTCT,RI,1
3493073,CTCT,R2,1
3493073,PTCT,R2,1
3493073,BNCT,RI,1
3493081,PTCT,R2,1
3493081,CTCT,RI,1
3493083,PTCT,R2,1
3493083,CTCT,R2,1
3493083,BNCT,RI,1
3493083,RHCT,RI,1
3493086,BNCT,R2,1
3493086,CTCT,R2,2
3493086,PTCT,RI,1
3493086,ZWCT,RI,1
3493095,BNCT,R2,1
3493095,CTCT,R2,1
3493095,PTCT,RI,1
3493095,ZWCT,RI,1
3493100,CTCT,R2,2
3493100,BNCT,RI,1
3493100,PTCT,RI,1
3493104,BNCT,R2,1
3493104,CTCT,R2,1
3493104,PTCT,RI,1
3493104,PYCT,RI,1
3493107,BNCT,R2,1
3493107,PTCT,R2,1
3493107,ZWCT,RI,2
3493110,CTCT,R2,1
3493110,PTCT,R2,1
3493110,ZWCT,RI,1
3493110,R2CT,RI,1
3493113,BNCT,R2,1
3493113,CTCT,R2,1
3493113,PTCT,RI,1
3493113,ZWCT,RI,1
3588649,HYCT,R2,1
3588649,RHCT,R2,1
3588649,PTCT,RI,1
3588649,R2CT,RI,1
3588650,HYCT,R2,1
3588650,KSCT,R2,1
3588650,RHCT,RI,1
3588650,PTCT,RI,1
3588652,HYCT,R2,1
3588652,KSCT,R2,1
3588652,RHCT,RI,1
3588652,BNCT,RI,2
3588654,HYCT,R2,1
3588654,KSCT,R2,1
3588654,RHCT,RI,1
3588654,BNCT,RI,2
3588656,HYCT,R2,1
3588656,KSCT,R2,1
3588656,RHCT,RI,1
3588656,PTCT,RI,1
3588659,HYCT,R2,1
3588659,RHCT,R2,1
3588659,PTCT,RI,1
3588659,CTCT,RI,1
3588642,HYCT,R2,1
3588642,RHCT,R2,1
3588642,PTCT,RI,1
3588642,CTCT,RI,1
3588643,HYCT,R2,1
3588643,KSCT,R2,1
3588643,RHCT,RI,1
3588643,PTCT,RI,1
3588644,HYCT,R2,1
3588644,KSCT,R2,1
3588644,RHCT,RI,1
3588644,BNCT,RI,2
3588645,HYCT,R2,1
3588645,KSCT,R2,1
3588645,RHCT,RI,1
3588645,BNCT,RI,2
3588646,HYCT,R2,1
3588646,KSCT,R2,1
3588646,RHCT,RI,1
3588646,PTCT,RI,1
3588647,HYCT,R2,1
3588647,RHCT,R2,1
